minute,event_count
2018-01-08 10:42:00,17
2018-01-08 10:43:00,17
2018-01-08 10:44:00,16
2018-01-08 10:45:00,3
2018-01-08 10:46:00,25
2018-01-08 10:47:00,32
2018-01-08 10:48:00,6
2018-01-08 10:49:00,9
2018-01-08 10:50:00,143
2018-01-08 10:51:00,245
2018-01-08 10:52:00,49
2018-01-08 10:53:00,15
2018-01-08 10:54:00,24
2018-01-08 10:55:00,64
2018-01-08 10:56:00,26
2018-01-08 10:57:00,18
2018-01-08 10:58:00,57
2018-01-08 10:59:00,72
2018-01-08 11:00:00,95
2018-01-08 11:01:00,22
2018-01-08 11:03:00,40
2018-01-08 11:04:00,225
2018-01-08 11:05:00,270
2018-01-08 11:06:00,14
2018-01-08 11:07:00,21
2018-01-08 11:08:00,45
2018-01-08 11:09:00,196
2018-01-08 11:10:00,52
2018-01-08 11:11:00,143
2018-01-08 11:12:00,68
2018-01-08 11:13:00,11
2018-01-08 11:14:00,99
2018-01-08 11:15:00,73
2018-01-08 11:16:00,170
2018-01-08 11:17:00,80
2018-01-08 11:18:00,58
2018-01-08 11:19:00,7
2018-01-08 11:20:00,135
2018-01-08 11:21:00,269
2018-01-08 11:22:00,404
2018-01-08 11:23:00,214
2018-01-08 11:24:00,183
2018-01-08 11:25:00,315
2018-01-08 11:26:00,51
2018-01-08 11:27:00,159
2018-01-08 11:28:00,203
2018-01-08 11:29:00,44
2018-01-08 11:30:00,77
2018-01-08 11:31:00,115
2018-01-08 11:32:00,280
2018-01-08 11:33:00,187
2018-01-08 11:34:00,487
2018-01-08 11:35:00,120
2018-01-08 11:36:00,65
2018-01-08 11:37:00,247
2018-01-08 11:38:00,22
2018-01-08 11:39:00,119
2018-01-08 11:40:00,179
2018-01-08 11:41:00,219
2018-01-08 11:42:00,139
2018-01-08 11:43:00,29
2018-01-08 11:44:00,21
2018-01-08 11:45:00,14
2018-01-08 11:46:00,110
2018-01-08 11:47:00,493
2018-01-08 11:48:00,38
2018-01-08 11:49:00,83
2018-01-08 11:50:00,385
2018-01-08 11:51:00,140
2018-01-08 11:52:00,38
2018-01-08 11:53:00,180
2018-01-08 11:54:00,218
2018-01-08 11:55:00,147
2018-01-08 11:56:00,332
2018-01-08 11:57:00,192
2018-01-08 11:58:00,247
2018-01-08 11:59:00,202
2018-01-08 12:00:00,75
2018-01-08 12:01:00,168
2018-01-08 12:02:00,26
2018-01-08 12:03:00,5
2018-01-08 12:04:00,24
2018-01-08 12:05:00,8
2018-01-08 12:06:00,10
2018-01-08 12:07:00,57
2018-01-08 12:08:00,91
2018-01-08 12:09:00,47
2018-01-08 12:10:00,116
2018-01-08 12:11:00,132
2018-01-08 12:12:00,81
2018-01-08 12:13:00,122
2018-01-08 12:14:00,76
2018-01-08 12:15:00,47
2018-01-08 12:16:00,102
2018-01-08 12:17:00,77
2018-01-08 12:18:00,75
2018-01-08 12:19:00,126
2018-01-08 12:20:00,195
2018-01-08 12:21:00,170
2018-01-08 12:22:00,75
2018-01-08 12:23:00,69
2018-01-08 12:24:00,106
2018-01-08 12:25:00,163
2018-01-08 12:26:00,30
2018-01-08 12:27:00,23
2018-01-08 12:28:00,12
2018-01-08 12:29:00,13
2018-01-08 12:30:00,66
2018-01-08 12:31:00,195
2018-01-08 12:32:00,61
2018-01-08 12:33:00,136
2018-01-08 12:34:00,17
2018-01-08 12:35:00,12
2018-01-08 12:36:00,20
2018-01-08 12:37:00,14
2018-01-08 12:38:00,8
2018-01-08 12:39:00,25
2018-01-08 12:40:00,59
2018-01-08 12:41:00,708
2018-01-08 12:42:00,940
2018-01-08 12:43:00,173
2018-01-08 12:44:00,72
2018-01-08 12:45:00,135
2018-01-08 12:46:00,93
2018-01-08 12:47:00,47
2018-01-08 12:48:00,40
2018-01-08 12:49:00,102
2018-01-08 12:50:00,29
2018-01-08 12:51:00,83
2018-01-08 12:52:00,47
2018-01-08 12:53:00,150
2018-01-08 12:54:00,39
2018-01-08 12:55:00,19
2018-01-08 12:56:00,76
2018-01-08 12:57:00,24
2018-01-08 12:58:00,57
2018-01-08 12:59:00,103
2018-01-08 13:00:00,10
2018-01-08 13:01:00,86
2018-01-08 13:02:00,63
2018-01-08 13:03:00,49
2018-01-08 13:04:00,42
2018-01-08 13:05:00,135
2018-01-08 13:06:00,50
2018-01-08 13:07:00,212
2018-01-08 13:08:00,143
2018-01-08 13:09:00,68
2018-01-08 13:10:00,9
2018-01-08 13:11:00,15
2018-01-08 13:12:00,181
2018-01-08 13:13:00,57
2018-01-08 13:14:00,88
2018-01-08 13:15:00,51
2018-01-08 13:16:00,49
2018-01-08 13:17:00,88
2018-01-08 13:18:00,46
2018-01-08 13:19:00,18
2018-01-08 13:20:00,8
2018-01-08 13:21:00,4
2018-01-08 13:22:00,15
2018-01-08 13:23:00,137
2018-01-08 13:24:00,146
2018-01-08 13:25:00,81
2018-01-08 13:26:00,3
2018-01-08 13:27:00,1
2018-01-08 13:28:00,8
2018-01-08 13:29:00,23
2018-01-08 13:30:00,14
2018-01-08 13:31:00,10
2018-01-08 13:32:00,2
2018-01-08 13:33:00,16
2018-01-08 13:34:00,221
2018-01-08 13:35:00,245
2018-01-08 13:36:00,69
2018-01-08 13:37:00,26
2018-01-08 13:38:00,42
2018-01-08 13:39:00,16
2018-01-08 13:40:00,83
2018-01-08 13:41:00,44
2018-01-08 13:42:00,67
2018-01-08 13:43:00,147
2018-01-08 13:44:00,81
2018-01-08 13:45:00,126
2018-01-08 13:46:00,8
2018-01-08 13:47:00,18
2018-01-08 13:48:00,4
2018-01-08 13:49:00,18
2018-01-08 13:50:00,152
2018-01-08 13:51:00,31
2018-01-08 13:52:00,153
2018-01-08 13:53:00,32
2018-01-08 13:54:00,6
2018-01-08 13:55:00,12
2018-01-08 13:56:00,35
2018-01-08 13:57:00,37
2018-01-08 13:58:00,10
2018-01-08 13:59:00,15
2018-01-08 14:01:00,39
2018-01-08 14:02:00,20
2018-01-08 14:04:00,19
2018-01-08 14:05:00,13
2018-01-08 14:06:00,7
2018-01-08 14:07:00,28
2018-01-08 14:08:00,19
2018-01-08 14:09:00,2
2018-01-08 14:10:00,5
2018-01-08 14:11:00,4
2018-01-08 14:12:00,17
2018-01-08 14:13:00,50
2018-01-08 14:14:00,10
2018-01-08 14:15:00,1
2018-01-08 14:16:00,5
2018-01-08 14:17:00,52
2018-01-08 14:18:00,23
2018-01-08 14:20:00,12
2018-01-08 14:21:00,14
2018-01-08 14:22:00,16
2018-01-08 14:23:00,22
2018-01-08 14:24:00,3
2018-01-08 14:25:00,11
2018-01-08 14:26:00,11
2018-01-08 14:27:00,13
2018-01-08 14:28:00,3
2018-01-08 14:30:00,10
2018-01-08 14:31:00,2
2018-01-08 14:32:00,9
2018-01-08 14:33:00,48
2018-01-08 14:34:00,15
2018-01-08 14:35:00,7
2018-01-08 14:36:00,33
2018-01-08 14:37:00,2
2018-01-08 14:38:00,14
2018-01-08 14:39:00,1
2018-01-08 14:40:00,9
2018-01-08 14:41:00,6
2018-01-08 14:42:00,46
2018-01-08 14:43:00,39
2018-01-08 14:44:00,9
2018-01-08 14:45:00,3
2018-01-08 14:46:00,9
2018-01-08 14:47:00,9
2018-01-08 14:48:00,3
2018-01-08 14:49:00,4
2018-01-08 14:51:00,74
2018-01-08 14:52:00,125
2018-01-08 14:53:00,56
2018-01-08 14:54:00,32
2018-01-08 14:55:00,24
2018-01-08 14:56:00,34
2018-01-08 14:57:00,154
2018-01-08 14:58:00,127
2018-01-08 14:59:00,335
2018-01-08 15:00:00,271
2018-01-08 15:01:00,210
2018-01-08 15:02:00,155
2018-01-08 15:03:00,487
2018-01-08 15:04:00,55
2018-01-08 15:05:00,24
2018-01-08 15:06:00,40
2018-01-08 15:07:00,28
2018-01-08 15:08:00,33
2018-01-08 15:09:00,16
2018-01-08 15:10:00,20
2018-01-08 15:11:00,2
2018-01-08 15:12:00,7
2018-01-08 15:13:00,48
2018-01-08 15:14:00,6
2018-01-08 15:15:00,25
2018-01-08 15:16:00,73
2018-01-08 15:17:00,142
2018-01-08 15:18:00,43
2018-01-08 15:19:00,10
2018-01-08 15:20:00,20
2018-01-08 15:21:00,20
2018-01-08 15:22:00,65
2018-01-08 15:23:00,12
2018-01-08 15:24:00,4
2018-01-08 15:25:00,134
2018-01-08 15:26:00,38
2018-01-08 15:27:00,312
2018-01-08 15:28:00,64
2018-01-08 15:29:00,22
2018-01-08 15:30:00,15
2018-01-08 15:31:00,251
2018-01-08 15:32:00,113
2018-01-08 15:33:00,125
2018-01-08 15:34:00,6
2018-01-08 15:35:00,38
2018-01-08 15:36:00,23
2018-01-08 15:37:00,20
2018-01-08 15:38:00,2
2018-01-08 15:39:00,1
2018-01-08 15:40:00,6
2018-01-08 15:41:00,2
2018-01-08 15:42:00,9
2018-01-08 15:43:00,1
2018-01-08 15:44:00,45
2018-01-08 15:45:00,13
2018-01-08 15:46:00,23
2018-01-08 15:47:00,56
2018-01-08 15:48:00,25
2018-01-08 15:49:00,17
2018-01-08 15:50:00,25
2018-01-08 15:51:00,50
2018-01-08 15:52:00,7
2018-01-08 15:53:00,50
2018-01-08 15:54:00,9
2018-01-08 15:55:00,193
